user_id,twitter_username,label
f5a343a36717c043,4198fa2270208155,0
0b9a553035f31183,0b9a553035f31183,0
2bf6dd08aed9b588,765c96001f2c8fbb,1
57af0fce0c68c580,57af0fce0c68c580,1
dbd62241146fc8a6,dbd62241146fc8a6,1
12e637ca4c5d05e4,e00407b4bd0ddeb3,1
62e848c61c9eb969,9f2d06d418414e41,1
74c6987178c82de4,1ea2e7db1e7c4b69,1
cff656467575d7d2,cff656467575d7d2,1
228abda6098f236d,228abda6098f236d,1
f3089e5a7cd28c0e,da748a280f6ef877,1
911b12f14ba34360,1049dbd5a7faf786,1
2b09826bd448ec8f,2b09826bd448ec8f,1
0561b33d88bf26b3,0561b33d88bf26b3,0
d5a82455e47cc690,f480fb87da0bec7a,0
1d067032af10469c,8e9531e643e6999f,0
6493f8396d26755f,ad248cb43ebf4e50,0
e418e059dd90a45d,e418e059dd90a45d,0
e58d9d60f83cdb66,e58d9d60f83cdb66,0
c308282559f2d25c,d544d045ccd09875,0
4200a95d56e186bd,80b5f3a6dde1ccdf,0
06de8a4b667458c9,a9cadbd6b3e7a6ac,1
69d40b62cf747867,69d40b62cf747867,1
cda7013e137644ed,cda7013e137644ed,1
ca6f13f6a8d8bd4c,92b4450127543751,1
bd528c7409ade50a,1666cee04b520527,1
09e9b41f0ff7751c,09e9b41f0ff7751c,1
b4f701e752cae2ce,b4f701e752cae2ce,1
33806395db5fe872,7573754ae22042e3,1
22be04f530a73656,ad389f2889a21384,1
32860d10f64e97a8,32860d10f64e97a8,1
546c1d62921a9c3a,546c1d62921a9c3a,1
5dfd52931cb21d00,fe815c360e585680,1
2625dfe6de4de892,2625dfe6de4de892,1
60ab0aa982c8dbe6,5eeffc7676eaf7b7,1
1186402acb618980,43befc7380dc72b1,1
1574d5debb180342,afa1357ca8ec1b32,1
0529f41ef1c0c63b,8e6322358a6acaa3,0
ff019b0d701459f5,2e886d21aeaae203,0
f44a9fe02b98f291,f44a9fe02b98f291,1
167250c3f8701a1d,167250c3f8701a1d,1
97cd33701d3c1c66,5d18703d5af15a7c,0
80afa4a21a9cf9e8,a2a262c7016c8025,0
68e5c0b5e3305277,68e5c0b5e3305277,0
c02be446dda851d3,b123eba0e6d5f216,0
cc1bd81c89bf7433,cc1bd81c89bf7433,1
b9ac927749535e9e,7bd97e006a34bb16,1
47bfec43ae609207,47bfec43ae609207,1
dabfd6695e9e0c8d,419af5879652a518,1
21523b8447edf3f3,848fd7de3a2fb2a3,0
3c3d2d7832fd5d9c,3c3d2d7832fd5d9c,1
f1609b98ccaf79e8,27424a576773023f,1
a6b89d2c4b01c115,60d5aaeb153fe297,1
a53e69b4d6e8ae05,a53e69b4d6e8ae05,0
6211c8b81f2b7134,55f4058e0d12d619,1
b1ebc395ae78ed19,380eef812188890a,1
dab47c0ec18f6e12,dab47c0ec18f6e12,1
5002d11c9d7cb579,e7168d591a14da39,1
6e72e93499e8718f,f62625f5baa43f4c,1
ec8a5228dc93a7c4,ec8a5228dc93a7c4,1
576118ad8adf5340,576118ad8adf5340,1
b8dec5c1cd88071e,d35bca2ec5f9e124,1
9c9395a077afac53,1f2199217f17851e,1
9214662680b33915,756bc2b424e1b89d,1
181d675165a1a3a2,181d675165a1a3a2,1
3941c1147f53fcd3,fe5215d5c5233200,1
b5196e6d1c42254a,3f9d15dbc0c8863b,1
ce97a502358b0eb5,ce97a502358b0eb5,1
b074c584b5afd90c,b074c584b5afd90c,1
547367e32ef9c73e,2cbb1b6fbdccc05f,0
5ea8e66c43efefc3,1067d31cdaf8c24c,0
a3cd064e9e3e270b,a3cd064e9e3e270b,0
2542e07c652023fd,114d65924255325c,0
af80c1900da4bae1,0ebf21c5c93b6b9a,0
9d80c4d3bde42c1e,4f4b96e5a3666121,1
2bbb9be4b2442ce1,15f5e3ea2a8e0e54,1
ba6928ec1594fc61,f2b589c647f399c5,1
38295fa5fe3200f5,38295fa5fe3200f5,1
46e0a5f28c63c829,3e2a8d03d43cb3cb,1
